,Unnamed: 0,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),TOTAL SCHOOLS (PREP),TOTAL STUDENTS (PRESTD),TOTAL  TEACHERS: MALE  (PMTCH),TOTAL  TEACHERS: FEMALE  (PFTCH),BLIND (BLC1),LOW VISION (LVC1),HEARING IMPAIRMENT (HEC1),SPEECH IMPAIRMENT (SPC1),LOCOMOTOR IMPAIRMENT (LOC1),MENTAL RETARDATION (MEC1),LEARNING DISABILITY (LEC1),CEREBRAL PALSY (CPC1),AUTISM (AUC1),MULTIPLE (MUC1)
0,0,2015-16,JAMMU AND KASHMIR,KUPWARA,875564.0,34.62,843.0,66.92,54.79,77.1,2379.0,1047,18000,1780,615,32,437,177,345,448,193,230,13,9,225
1,1,2015-16,JAMMU AND KASHMIR,BARAMULA,1015503.0,20.34,873.0,66.93,55.01,77.35,4243.0,1998,30671,2278,1954,30,1121,247,386,654,320,232,128,17,508
2,2,2015-16,JAMMU AND KASHMIR,SRINAGAR,1269751.0,23.56,879.0,71.21,63.47,77.95,1979.0,875,35467,1623,5821,33,816,94,137,133,130,585,16,6,71
3,3,2015-16,JAMMU AND KASHMIR,BADGAM,735753.0,21.18,883.0,57.98,46.6,68.56,1361.0,1285,21352,1487,1293,0,487,95,188,223,221,114,10,40,139
4,4,2015-16,JAMMU AND KASHMIR,PULWAMA,570060.0,29.18,913.0,65.0,53.81,75.41,1086.0,888,20018,1496,1045,9,684,91,179,180,172,220,12,13,129
5,5,2015-16,JAMMU AND KASHMIR,ANANTNAG,1070144.0,37.48,937.0,64.32,54.15,74.13,3574.0,1707,30943,2464,2047,9,581,124,258,376,232,195,12,31,237
6,6,2015-16,JAMMU AND KASHMIR,LEH (LADAKH),147104.0,25.48,583.0,80.48,64.52,89.39,45110.0,316,5309,237,481,0,33,9,7,12,7,9,2,2,4
7,7,2015-16,JAMMU AND KASHMIR,KARGIL,143388.0,20.18,775.0,74.49,58.05,86.73,14036.0,400,3155,358,162,0,165,31,54,28,20,24,4,4,36
8,8,2015-16,JAMMU AND KASHMIR,DODA,409576.0,27.89,922.0,65.97,50.34,80.36,8912.0,423,8037,893,674,19,449,182,202,216,85,110,8,16,182
9,9,2015-16,JAMMU AND KASHMIR,UDHAMPUR,555357.0,20.86,863.0,69.9,58.22,79.93,2637.0,854,11487,602,1717,0,191,88,250,256,126,129,7,4,129
