,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM)
0,JAMMU AND KASHMIR,KUPWARA,875564.0,34.62,843.0,66.92,54.79,77.1,2379.0
1,JAMMU AND KASHMIR,BARAMULA,1015503.0,20.34,873.0,66.93,55.01,77.35,4243.0
2,JAMMU AND KASHMIR,SRINAGAR,1269751.0,23.56,879.0,71.21,63.47,77.95,1979.0
3,JAMMU AND KASHMIR,BADGAM,735753.0,21.18,883.0,57.98,46.6,68.56,1361.0
4,JAMMU AND KASHMIR,PULWAMA,570060.0,29.18,913.0,65.0,53.81,75.41,1086.0
5,JAMMU AND KASHMIR,ANANTNAG,1070144.0,37.48,937.0,64.32,54.15,74.13,3574.0
6,JAMMU AND KASHMIR,LEH (LADAKH),147104.0,25.48,583.0,80.48,64.52,89.39,45110.0
7,JAMMU AND KASHMIR,KARGIL,143388.0,20.18,775.0,74.49,58.05,86.73,14036.0
8,JAMMU AND KASHMIR,DODA,409576.0,27.89,922.0,65.97,50.34,80.36,8912.0
9,JAMMU AND KASHMIR,UDHAMPUR,555357.0,20.86,863.0,69.9,58.22,79.93,2637.0
10,JAMMU AND KASHMIR,PUNCH,476820.0,27.97,890.0,68.69,54.8,81.04,1674.0
11,JAMMU AND KASHMIR,RAJAURI,619266.0,28.14,863.0,68.54,57.2,78.38,2630.0
12,JAMMU AND KASHMIR,JAMMU,1526406.0,12.48,871.0,83.98,77.41,89.77,2342.0
13,JAMMU AND KASHMIR,KATHUA,615711.0,20.38,877.0,73.5,64.56,81.4,2502.0
14,JAMMU AND KASHMIR,SHOPIAN,265960.0,25.85,951.0,62.49,52.77,71.86,312.0
15,JAMMU AND KASHMIR,BANDIPORA,385099.0,26.31,911.0,57.82,46.24,68.41,345.0
16,JAMMU AND KASHMIR,KISHTWAR,231037.0,21.06,917.0,58.54,44.13,71.75,1644.0
17,JAMMU AND KASHMIR,RAMBAN,283313.0,31.81,901.0,56.9,40.04,71.97,1329.0
18,JAMMU AND KASHMIR,GANDERBAL,297003.0,36.3,869.0,59.99,47.62,70.74,259.0
19,JAMMU AND KASHMIR,KULGAM,422786.0,7.3,951.0,60.35,49.74,70.58,410.0
20,JAMMU AND KASHMIR,REASI,314714.0,27.06,891.0,59.42,47.55,69.93,1719.0
21,JAMMU AND KASHMIR,SAMBA,318611.0,16.9,886.0,82.48,74.39,89.76,904.0
22,HIMACHAL PRADESH,CHAMBA,518844.0,12.58,989.0,73.19,62.14,84.19,6522.0
23,HIMACHAL PRADESH,KANGRA,1507223.0,12.56,1013.0,86.49,80.62,92.55,5739.0
24,HIMACHAL PRADESH,LAHUL AND SPITI,31528.0,-5.1,916.0,77.24,66.5,86.97,13841.0
25,HIMACHAL PRADESH,KULLU,437474.0,14.65,950.0,80.14,71.01,88.8,5503.0
26,HIMACHAL PRADESH,MANDI,999518.0,10.89,1012.0,82.81,74.33,91.51,3950.0
27,HIMACHAL PRADESH,HAMIRPUR (H,454293.0,10.08,1096.0,89.01,83.44,95.28,1118.0
28,HIMACHAL PRADESH,UNA,521057.0,16.24,977.0,87.23,81.67,92.75,1540.0
29,HIMACHAL PRADESH,BILASPUR (H,382056.0,12.08,981.0,85.67,78.9,92.39,1167.0
30,HIMACHAL PRADESH,SOLAN,576670.0,15.21,884.0,85.02,78.02,91.19,1936.0
31,HIMACHAL PRADESH,SIRMAUR,530164.0,15.61,915.0,79.98,72.55,86.76,2825.0
32,HIMACHAL PRADESH,SHIMLA,813384.0,12.58,916.0,84.55,77.8,90.73,5131.0
33,HIMACHAL PRADESH,KINNAUR,84298.0,7.61,818.0,80.77,71.34,88.37,6401.0
34,PUNJAB,GURDASPUR,2299026.0,9.3,895.0,81.06,75.73,85.9,3551.0
35,PUNJAB,AMRITSAR,2490891.0,15.48,884.0,77.2,72.75,81.2,2683.0
36,PUNJAB,KAPURTHALA,817668.0,8.37,912.0,80.18,75.36,84.6,1633.0
37,PUNJAB,JALANDHAR,2181753.0,11.16,913.0,82.4,78.31,86.1,2624.0
38,PUNJAB,HOSHIARPUR,1582793.0,6.85,962.0,85.43,80.78,89.9,3386.0
