STATE NAME,DISTRICT NAME,TOTAL POPULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,AREA
TELANGANA,ADILABAD,2737738.0,10.04,1003.0,61.55,16105.0
MADHYA PRADESH,AGAR MALWA,,,,,
UTTAR PRADESH,AGRA,4380793.0,21.0,859.0,69.44,4041.0
GUJARAT,AHMEDABAD,7208200.0,22.31,903.0,86.65,8107.0
MAHARASHTRA,AHMEDNAGAR,4543083.0,12.43,934.0,80.22,17048.0
MIZORAM,AIZAWL,404054.0,24.07,1009.0,98.5,3576.0
RAJASTHAN,AJMER,2584913.0,18.48,950.0,70.46,8481.0
MAHARASHTRA,AKOLA,1818617.0,11.6,942.0,87.55,5676.0
KERALA,ALAPPUZHA,2121943.0,0.61,1100.0,96.26,1415.0
UTTAR PRADESH,ALIGARH,3673849.0,22.78,876.0,69.61,3650.0
WEST BENGAL,ALIPURDUAR,,,,,
MADHYA PRADESH,ALIRAJPUR,728677.0,19.4,1009.0,37.22,3182.0
UTTARAKHAND,ALMORA,621927.0,-1.73,1142.0,81.06,3144.0
RAJASTHAN,ALWAR,3671999.0,22.7,894.0,71.68,8380.0
HARYANA,AMBALA,1136784.0,12.06,882.0,82.89,1574.0
UTTAR PRADESH,AMBEDKAR NAGAR,2398709.0,18.35,976.0,74.37,2350.0
UTTAR PRADESH,AMETHI,,,,,0.0
MAHARASHTRA,AMRAVATI,2887826.0,10.77,947.0,88.23,12210.0
GUJARAT,AMRELI,1513614.0,8.59,964.0,74.49,7397.0
PUNJAB,AMRITSAR,2490891.0,15.48,884.0,77.2,2683.0
UTTAR PRADESH,AMROHA,1838771.0,22.66,907.0,65.7,2249.0
GUJARAT,ANAND,2090276.0,12.57,921.0,85.79,3204.0
ANDHRA PRADESH,ANANTAPUR,4083315.0,12.16,977.0,64.28,19130.0
JAMMU AND KASHMIR,ANANTNAG,1070144.0,37.48,937.0,64.32,3574.0
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR COMBINED,379944.0,13.97,859.0,83.413,8249.0
ODISHA,ANGUL,1271703.0,11.55,942.0,78.96,6375.0
MADHYA PRADESH,ANUPPUR,749521.0,12.35,975.0,69.08,3747.0
BIHAR,ARARIA,2806200.0,30.0,921.0,55.1,2830.0
GUJARAT,ARAVALLI,,,,,
BIHAR,ARWAL,699563.0,19.01,927.0,69.54,638.0
MADHYA PRADESH,ASHOKNAGAR,844979.0,22.65,900.0,67.9,4674.0
UTTAR PRADESH,AURAIYA,1372287.0,16.3,864.0,80.25,2016.0
BIHAR,AURANGABAD,2511243.0,24.75,916.0,72.77,3305.0
MAHARASHTRA,AURANGABAD,3695928.0,27.33,917.0,80.4,10107.0
UTTAR PRADESH,AYODHYA,2468371.0,18.16,961.0,70.63,2341.0
