State,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes
Telangana,Adilabad,1815,1800,15,0,0,32,32,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin
Madhya Pradesh,Agar Malwa,416,21,387,8,0,3,1,2,0,
Uttar Pradesh,Agra,6253,587,5536,130,0,78,53,25,0,
Gujarat,Ahmedabad,38561,3575,33145,1841,0,180,-39,216,3,
Maharashtra,Ahmednagar,48131,9413,37981,737,0,0,0,0,0,
Mizoram,Aizawl,1397,38,1359,0,0,3,-31,34,0,
Rajasthan,Ajmer,7846,262,7469,115,0,113,4,107,2,
Maharashtra,Akola,7795,663,6885,246,1,0,0,0,0,
Kerala,Alappuzha,19252,5992,13197,55,8,793,443,348,2,
Uttar Pradesh,Aligarh,8772,654,8079,39,0,55,34,21,0,
West Bengal,Alipurduar,5276,571,4639,66,0,83,8,74,1,
Madhya Pradesh,Alirajpur,1008,42,953,13,0,4,-2,6,0,
Uttarakhand,Almora,1560,127,1417,8,8,17,7,10,0,
Rajasthan,Alwar,12191,496,11649,46,0,86,-51,137,0,
Haryana,Ambala,8416,336,7978,102,0,43,-28,70,1,
Uttar Pradesh,Ambedkar Nagar,1555,183,1339,33,0,6,-2,8,0,
Uttar Pradesh,Amethi,2627,299,2305,23,0,23,4,19,0,
Maharashtra,Amravati,14980,1945,12729,306,0,0,0,0,0,
Gujarat,Amreli,2387,465,1897,25,0,25,5,20,0,
Punjab,Amritsar,11021,888,9732,401,0,94,-36,126,4,
Uttar Pradesh,Amroha,3092,420,2632,40,0,34,-45,80,-1,
Gujarat,Anand,1194,48,1130,16,0,12,3,9,0,
Andhra Pradesh,Anantapur,60285,1562,58203,520,0,285,24,258,3,
Jammu and Kashmir,Anantnag,3734,331,3334,69,0,27,18,9,0,
Andaman and Nicobar Islands,Andaman and Nicobar Combined,3976,197,3724,55,0,0,0,0,0,
Odisha,Angul,5310,1078,4224,8,0,107,24,83,0,
Arunachal Pradesh,Anjaw,153,44,109,0,0,0,0,0,0,
Madhya Pradesh,Anuppur,1256,141,1104,11,0,27,19,8,0,
Bihar,Araria,5572,354,5203,15,0,30,-26,56,0,
Gujarat,Aravalli,640,198,418,24,0,1,1,0,0,
Tamil Nadu,Ariyalur,4042,209,3789,44,0,35,9,25,1,
Bihar,Arwal,1918,85,1825,8,0,3,-3,6,0,
Madhya Pradesh,Ashoknagar,521,57,450,14,0,2,-1,3,0,
Uttar Pradesh,Auraiya,2470,240,2197,33,0,14,-4,18,0,
Bihar,Aurangabad,3875,196,3669,10,0,21,8,13,0,
Maharashtra,Aurangabad,38328,9809,27596,923,0,0,0,0,0,
Uttar Pradesh,Ayodhya,6495,693,5721,81,0,45,-35,79,1,
Uttar Pradesh,Azamgarh,4862,499,4288,75,0,38,12,26,0,
Karnataka,Bagalkote,11364,639,10609,116,0,76,-32,108,0,
Uttarakhand,Bageshwar,750,127,619,4,0,20,15,5,0,
Uttar Pradesh,Baghpat,1375,110,1241,24,0,5,-6,11,0,
Uttar Pradesh,Bahraich,3290,237,2993,60,0,33,0,33,0,
Assam,Baksa,687,234,447,6,0,0,0,0,0,
Madhya Pradesh,Balaghat,1417,312,1097,8,0,37,-22,59,0,
Odisha,Balangir,5130,764,4342,24,0,62,-8,70,0,
